TEMPS	VO2	VCO2	FR	VT
838	1600.125275	908.681228	22.3880597	1.366759984
840	1991.50746	1019.024066	26.7141585	1.399399028
843	1752.635726	881.3266428	25.60819462	1.307601716
845	1787.297643	905.9103858	25.79535684	1.302501865
847	1927.584051	967.326168	26.4084507	1.317801417
850	1983.213487	977.2055914	26.7141585	1.324941208
852	1966.404972	980.9522635	25.83979328	1.382059536
855	1824.531937	914.3660914	23.81897578	1.390219297
857	1968.877727	1024.897883	24.13515688	1.493236281
859	1989.176431	1027.243924	25.04173623	1.452437475
862	2114.94134	1071.038994	26.7141585	1.455497386
864	2127.509044	1058.417987	26.67852379	1.464677117
866	2005.413014	964.9959542	28.01120448	1.353500372
868	1867.933443	909.0269442	30.06012024	1.259663119
870	1797.21515	871.46039	30.92783505	1.210704553
872	1821.606227	923.7190396	28.54424358	1.314741507
874	1933.893909	961.8581235	27.66251729	1.389199327
876	2006.403615	976.003835	27.73925104	1.40959873
878	2000.894341	954.8118293	29.9550674	1.318821387
882	1620.495724	873.8825781	23.69668246	1.349420491
884	1581.39684	884.7971329	24.09638554	1.323921238
886	1655.373159	924.2929253	23.3553912	1.376959685
888	1989.819267	1022.150481	28.35538752	1.361660133
890	2077.78744	1050.035824	28.08988764	1.402458939
892	2191.689519	1114.841905	28.26189355	1.48711646
894	2307.535978	1180.261904	29.71768202	1.518735534
896	2256.214325	1171.092693	30.10536879	1.513635684
898	2216.505603	1192.467848	29.38295788	1.565654161
900	2235.03505	1229.842209	28.8184438	1.623792458
902	2325.402831	1282.713902	28.43601896	1.704370099
904	2241.149048	1169.207927	30.25718608	1.529955206
906	1865.416465	1050.845004	29.97002997	1.41265864
909	1495.89885	890.2173028	28.99951667	1.247423478
911	1588.999954	969.6768984	27.07581227	1.355540312
913	1886.695598	999.5952591	27.23558783	1.388179357
914	2036.503034	1035.399454	31.03983445	1.291282194
916	2075.224261	1025.61129	32.67973856	1.242323627
